,RACE,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME
903,White Only,,,200.0,,
904,White Only,,,20.0,,
905,White Only,,,20.0,,
914,White Only,,,10.0,,
915,White Only,,,10.0,,
916,White Only,,,10.0,,
917,White Only,,,10.0,,
922,White Only,,,30.0,,
923,White Only,,,30.0,,
924,White Only,,,100.0,,
925,White Only,,,20.0,,
926,Black Only,,,20.0,,
930,White Only,,,20.0,,
931,White Only,,,20.0,,
932,White Only,,,20.0,,
933,White Only,,,20.0,,
944,Black Only,,,20.0,,
945,Black Only,,,20.0,,
946,Black Only,,,20.0,,
947,Black Only,,,20.0,,
949,White Only,,,4.0,,
950,White Only,,,4.0,,
951,White Only,,,4.0,,
954,Black Only,,,30.0,,
955,Black Only,,,30.0,,
958,White Only,,,4.0,,
969,Black Only,,,70.0,,
972,White Only,,,4.0,,
973,White Only,,,4.0,,
981,White Only,,,30.0,,
982,White Only,,,30.0,,
983,White Only,,,30.0,,
984,White Only,,,30.0,,
986,White Only,,,30.0,,
