,Unnamed: 0,FAMILY_INCOME,HOUSEHOLD_TYPE,RACE,EMPLOYMENT_STATUS,PRCHLD,HOUSEHOLD_PURCHASES_GROCERIES,HOUSEHOLD_PURCHASES_RESTAURANTS,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,Y/N_RECEVIED_FOODBENEFITS_PAST12MONTHS,FOODSTAMPS_AMT_PERMONTH
279,7642,1,7,1,4,0,40,-1,20,2,-1
280,7643,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
281,7644,12,6,1,1,0,-1,-1,-1,-1,-1
282,7645,12,4,2,1,0,150,20,-1,2,-1
283,7646,12,4,2,4,5,150,20,-1,2,-1
284,7647,12,4,2,-1,0,150,20,-1,2,-1
285,7648,12,4,2,-1,0,150,20,-1,2,-1
286,7649,11,1,2,4,0,-1,-1,-1,-1,-1
287,7650,11,1,2,4,0,-1,-1,-1,-1,-1
288,7651,9,7,1,4,0,200,-1,-1,-1,-1
289,7652,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
290,7653,6,7,1,4,0,100,10,50,2,-1
291,7654,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
292,7655,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
293,7656,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
294,7657,16,7,1,4,0,130,60,-1,-1,-1
295,7658,12,4,1,1,10,-1,80,100,2,-1
296,7659,12,4,1,4,0,-1,80,100,2,-1
297,7660,12,4,1,-1,0,-1,80,100,2,-1
298,7661,11,6,1,4,0,-2,-1,-1,-1,-1
299,7662,8,6,1,4,0,80,-1,-2,2,-1
300,7663,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
301,7664,6,6,1,4,0,-1,-1,-1,-1,-1
302,7665,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
303,7666,12,6,1,1,0,150,-1,-1,-1,-1
304,7667,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
305,7668,5,1,2,1,0,250,-1,-1,2,-1
306,7669,5,1,2,1,0,250,-1,-1,2,-1
307,7670,5,1,2,1,1,250,-1,-1,2,-1
308,7671,5,1,2,-1,0,250,-1,-1,2,-1
309,7672,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
310,7673,4,1,1,4,0,-1,-1,-1,-1,-1
311,7674,4,1,1,4,0,-1,-1,-1,-1,-1
312,7675,10,6,4,4,0,-1,-1,-1,-1,-1
313,7676,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
314,7677,9,7,2,4,0,4,4,-1,-1,-1
315,7678,11,7,1,1,0,-1,-1,-1,-1,-1
316,7679,8,6,2,1,0,40,-1,-1,-1,-1
317,7680,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
318,7681,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
319,7682,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
320,7683,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
321,7684,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
322,9612,14,1,1,1,10,200,4,-1,-1,-1
323,9613,14,1,1,4,10,200,4,-1,-1,-1
324,9614,14,1,1,-1,0,200,4,-1,-1,-1
325,9615,14,1,1,-1,0,200,4,-1,-1,-1
326,9616,10,1,2,1,0,150,-1,-1,2,-1
327,9617,10,1,2,4,0,150,-1,-1,2,-1
328,9618,3,7,2,4,0,30,4,40,1,-3
329,9619,4,1,1,4,0,60,40,-1,2,-1
330,9620,4,1,1,4,0,60,40,-1,2,-1
331,9621,12,6,1,4,0,150,-1,-1,2,-1
332,9622,12,6,1,4,0,150,-1,-1,2,-1
333,9623,13,7,2,4,0,-1,-1,-1,-1,-1
334,9624,6,3,2,4,0,100,-1,40,1,70
335,9625,6,3,1,4,0,100,-1,40,1,70
336,9626,6,3,1,4,0,100,-1,40,1,70
337,9627,15,1,1,1,3,-1,-1,-1,-1,-1
338,9628,15,1,1,1,3,-1,-1,-1,-1,-1
339,9629,15,1,1,4,0,-1,-1,-1,-1,-1
340,9630,15,1,1,-1,0,-1,-1,-1,-1,-1
341,9631,15,1,2,4,0,200,30,-1,2,-1
342,9632,15,1,2,1,0,200,30,-1,2,-1
343,9633,15,1,2,1,0,200,30,-1,2,-1
344,9634,14,1,1,2,0,150,50,-1,-1,-1
345,9635,14,1,1,1,0,150,50,-1,-1,-1
346,9636,14,1,1,4,0,150,50,-1,-1,-1
347,9637,10,1,1,1,0,100,20,-1,-1,-1
348,9638,10,1,1,4,0,100,20,-1,-1,-1
349,9639,10,1,1,4,0,-1,-1,-1,-1,-1
350,9640,10,1,1,4,0,-1,-1,-1,-1,-1
351,9641,15,7,1,4,0,300,20,-1,-1,-1
352,9642,8,1,2,4,0,180,-1,50,2,-1
353,9643,8,1,2,4,0,180,-1,50,2,-1
354,9644,8,1,2,4,0,180,-1,50,2,-1
355,9645,8,7,1,4,0,30,-1,10,2,-1
356,9646,3,6,2,4,0,-1,-1,-1,-1,-1
357,9647,13,7,2,1,0,-1,-1,-1,-1,-1
358,11360,12,4,2,4,0,-1,-1,-1,-1,-1
359,11361,12,4,2,1,0,-1,-1,-1,-1,-1
360,11362,12,4,2,1,0,-1,-1,-1,-1,-1
361,11363,13,1,1,4,0,50,20,-1,-1,-1
362,11364,13,1,1,4,0,50,20,-1,-1,-1
363,11365,10,1,1,4,0,-1,-1,-1,-1,-1
364,11366,10,1,1,4,0,-1,-1,-1,-1,-1
365,11367,10,1,1,4,0,-1,-1,-1,-1,-1
366,11368,16,1,1,1,0,130,150,-1,-1,-1
367,11369,16,1,1,1,0,130,150,-1,-1,-1
368,11370,8,1,1,4,0,110,-1,50,2,-1
369,11371,8,1,1,4,0,110,-1,50,2,-1
370,11372,8,6,1,4,0,50,30,-1,2,-1
371,11373,13,1,1,1,0,80,60,-1,-1,-1
372,11374,13,1,1,4,0,80,60,-1,-1,-1
373,11375,13,1,1,4,0,80,60,-1,-1,-1
374,11376,11,1,1,1,0,90,40,-1,-1,-1
375,11377,11,1,1,4,0,90,40,-1,-1,-1
376,11378,11,6,2,4,0,-1,-1,-1,-1,-1
377,11379,12,7,4,4,0,-1,-1,-1,-1,-1
378,11380,15,1,1,4,0,-2,-1,-1,-1,-1
379,11381,15,1,1,4,0,-2,-1,-1,-1,-1
380,11382,4,1,7,1,4,100,50,-1,2,-1
381,11383,4,1,7,4,4,100,50,-1,2,-1
382,11384,4,1,7,1,0,100,50,-1,2,-1
383,11385,10,1,1,4,0,150,-2,-1,2,-1
384,11386,10,1,1,1,0,150,-2,-1,2,-1
385,11387,10,1,1,1,0,150,-2,-1,2,-1
386,11388,10,6,1,1,0,30,4,-1,2,-1
387,11389,11,1,1,1,1,80,30,-1,-1,-1
388,11390,11,1,1,4,1,80,30,-1,-1,-1
389,11391,11,1,1,-1,0,80,30,-1,-1,-1
390,11392,12,1,1,1,0,120,-1,-1,2,-1
391,11393,12,1,1,4,0,120,-1,-1,2,-1
392,25641,15,7,2,4,0,-1,-1,-1,-1,-1
393,25642,11,1,1,4,10,-1,-1,-1,-1,-1
394,25643,11,1,1,1,10,-1,-1,-1,-1,-1
395,25644,11,1,1,4,0,-1,-1,-1,-1,-1
396,25645,11,1,1,-1,0,-1,-1,-1,-1,-1
397,25646,11,1,1,-1,0,-1,-1,-1,-1,-1
398,25647,11,1,1,-1,0,-1,-1,-1,-1,-1
399,25648,6,6,1,4,0,-1,-1,-1,-1,-1
400,25649,3,7,2,4,0,80,20,30,1,160
401,25650,11,4,1,4,0,150,-1,50,-1,-1
402,25651,11,4,1,4,0,150,-1,50,-1,-1
403,25652,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
