,HEFAMINC,HRNUMHOU,HRHTYPE,PTDTRACE,PREMPNOT,PRCHLD,HETS2O,HETS6O,HETS8CO,HESP1,HETSP3O
22107,10,2,1,1,4,0,-1,30,-1,-1,-1
22108,11,2,1,2,1,0,150,30,-1,-1,-1
22109,11,2,1,2,4,0,150,30,-1,-1,-1
22110,4,1,7,2,4,0,-1,-1,-1,-1,-1
22111,9,1,6,1,1,0,-1,-1,-1,-1,-1
22112,14,4,3,1,1,0,-1,-1,-1,-1,-1
22113,14,4,3,1,4,0,-1,-1,-1,-1,-1
22114,14,4,3,1,4,0,-1,-1,-1,-1,-1
22115,14,4,3,1,1,0,-1,-1,-1,-1,-1
22116,8,2,7,1,4,0,-1,-1,-1,-1,-1
22117,8,2,7,1,4,0,-1,-1,-1,-1,-1
22118,8,1,6,1,4,0,60,-1,-1,2,-1
22119,11,1,7,1,4,0,-1,-1,-1,-1,-1
22120,14,2,1,1,4,0,130,50,-1,-1,-1
22121,14,2,1,1,4,0,130,50,-1,-1,-1
22122,15,2,1,1,4,0,180,-1,-1,-1,-1
22123,15,2,1,1,4,0,180,-1,-1,-1,-1
22124,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22125,4,1,6,1,4,0,-1,-1,50,2,-1
