,HEFAMINC,HRNUMHOU,HRHTYPE,PTDTRACE,PREMPNOT,PRCHLD,PRNMCHLD,HETS2O,HETS6O,HETS8CO,HESP1,HETSP3O
7673,4,2,1,1,4,0,0,-1,-1,-1,-1,-1
7674,4,2,1,1,4,0,0,-1,-1,-1,-1,-1
7675,10,1,6,4,4,0,0,-1,-1,-1,-1,-1
7676,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7677,9,1,7,2,4,0,0,4,4,-1,-1,-1
7678,11,1,7,1,1,0,0,-1,-1,-1,-1,-1
7679,8,1,6,2,1,0,0,40,-1,-1,-1,-1
7680,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7681,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7682,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7683,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7684,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
9612,14,4,1,1,1,10,2,200,4,-1,-1,-1
9613,14,4,1,1,4,10,2,200,4,-1,-1,-1
9614,14,4,1,1,-1,0,0,200,4,-1,-1,-1
9615,14,4,1,1,-1,0,0,200,4,-1,-1,-1
9616,10,2,1,2,1,0,0,150,-1,-1,2,-1
9617,10,2,1,2,4,0,0,150,-1,-1,2,-1
9618,3,1,7,2,4,0,0,30,4,40,1,-3
9619,4,2,1,1,4,0,0,60,40,-1,2,-1
9620,4,2,1,1,4,0,0,60,40,-1,2,-1
9621,12,2,6,1,4,0,0,150,-1,-1,2,-1
9622,12,2,6,1,4,0,0,150,-1,-1,2,-1
9623,13,1,7,2,4,0,0,-1,-1,-1,-1,-1
9624,6,3,3,2,4,0,0,100,-1,40,1,70
9625,6,3,3,1,4,0,0,100,-1,40,1,70
9626,6,3,3,1,4,0,0,100,-1,40,1,70
9627,15,4,1,1,1,3,1,-1,-1,-1,-1,-1
9628,15,4,1,1,1,3,1,-1,-1,-1,-1,-1
9629,15,4,1,1,4,0,0,-1,-1,-1,-1,-1
9630,15,4,1,1,-1,0,0,-1,-1,-1,-1,-1
9631,15,3,1,2,4,0,0,200,30,-1,2,-1
9632,15,3,1,2,1,0,0,200,30,-1,2,-1
9633,15,3,1,2,1,0,0,200,30,-1,2,-1
9634,14,3,1,1,2,0,0,150,50,-1,-1,-1
9635,14,3,1,1,1,0,0,150,50,-1,-1,-1
9636,14,3,1,1,4,0,0,150,50,-1,-1,-1
9637,10,2,1,1,1,0,0,100,20,-1,-1,-1
9638,10,2,1,1,4,0,0,100,20,-1,-1,-1
9639,10,2,1,1,4,0,0,-1,-1,-1,-1,-1
9640,10,2,1,1,4,0,0,-1,-1,-1,-1,-1
9641,15,1,7,1,4,0,0,300,20,-1,-1,-1
9642,8,3,1,2,4,0,0,180,-1,50,2,-1
9643,8,3,1,2,4,0,0,180,-1,50,2,-1
9644,8,3,1,2,4,0,0,180,-1,50,2,-1
9645,8,1,7,1,4,0,0,30,-1,10,2,-1
9646,3,1,6,2,4,0,0,-1,-1,-1,-1,-1
9647,13,1,7,2,1,0,0,-1,-1,-1,-1,-1
11360,12,3,4,2,4,0,0,-1,-1,-1,-1,-1
